,molecule_chembl_id,smiles,Mol,IC50,pIC50,molLogP,tpsa,MolWT,NumRotatableBonds,NumHDonors,NumHAcceptors,ro5_fulfilled
37,CHEMBL265344,CC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(C)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,<rdkit.Chem.rdchem.Mol object at 0x7f65256cb3e0>,400.0,5.3979400086720375,4.376600000000003,126.07,550.9800000000016,10,3,7,False
41,CHEMBL9238,COC(=O)CCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,<rdkit.Chem.rdchem.Mol object at 0x7f65256cb1b0>,36.0,6.443697499232713,3.0456000000000016,178.67,695.1060000000017,16,3,11,False
42,CHEMBL9512,Cl.NCC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CN)cc2)C2CCCN2C(=O)C2CCCN2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f65256cb300>,500.0,5.301029995663981,2.2542,178.11000000000004,581.0100000000016,12,5,9,False
43,CHEMBL269209,C[C@H](N)C(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)[C@@H](C)N)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,<rdkit.Chem.rdchem.Mol object at 0x7f65256cb220>,600.0,5.221848749616356,3.0312000000000006,178.11000000000004,609.0640000000017,14,5,9,False
45,CHEMBL268012,Cl.O=C(C1CCCN1)N1CCCC1P(=O)(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f65256cb0d0>,1800000.0,1.7447274948966938,5.075400000000003,67.87,547.4580000000007,6,1,5,False
46,CHEMBL9295,CCCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,<rdkit.Chem.rdchem.Mol object at 0x7f65256c9e70>,30.0,6.522878745280337,4.739400000000005,126.07,607.0880000000018,14,3,7,False
47,CHEMBL269757,Cl.O=C(CNC(=O)c1ccccc1)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CNC(=O)c3ccccc3)cc2)C2CCCN2C(=O)C2CCCN2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f65256ca880>,700.0,5.154901959985743,5.196800000000004,184.27,789.2260000000014,14,5,9,False
48,CHEMBL9263,CC(=O)Nc1cccc(OP(=O)(Oc2cccc(NC(C)=O)c2)C2CCCN2C(=O)C2CCCN2)c1.Cl,<rdkit.Chem.rdchem.Mol object at 0x7f65256ca030>,800.0,5.096910013008056,4.3766000000000025,126.07,550.9800000000015,10,3,7,False
49,CHEMBL9433,CS(=O)(=O)Nc1ccc(OP(=O)(Oc2ccc(NS(C)(=O)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,<rdkit.Chem.rdchem.Mol object at 0x7f65256c9e00>,400.0,5.3979400086720375,3.202800000000001,160.21,623.0900000000014,12,3,9,False
51,CHEMBL268527,COC(=O)C(Cc1ccc(OP(=O)(Oc2ccc(CC(NC(C)=O)C(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1)NC(C)=O.Cl,<rdkit.Chem.rdchem.Mol object at 0x7f65256c9d20>,1400.0,4.853871964321762,2.900200000000001,178.67,723.1600000000017,18,3,11,False
52,CHEMBL9408,COC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,<rdkit.Chem.rdchem.Mol object at 0x7f65256c9b60>,16.0,6.795880017344075,4.033000000000003,120.47,552.9480000000015,10,1,9,False
53,CHEMBL430281,Cl.NC(=O)Nc1cccc(OP(=O)(OC2=CC=CC(NC(N)=O)C2)C2CCCN2C(=O)C2CCCN2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f65256c9ee0>,2300.0,4.638272163982407,2.7687,178.11,554.9720000000016,8,5,7,False
54,CHEMBL274829,CCOC(=O)CNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCC(=O)OCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,<rdkit.Chem.rdchem.Mol object at 0x7f65256c9a10>,23.0,6.638272163982407,3.0456000000000016,178.67,695.1060000000017,16,3,11,False
