,chembl_id,pains
0,CHEMBL358358,Azo_a(324)
1,CHEMBL195063,Anil_di_alk_c(246)
2,CHEMBL433811,Anil_di_alk_c(246)
3,CHEMBL362930,Anil_di_alk_e(186)
4,CHEMBL552788,Acyl_het_a(9)
5,CHEMBL411561,Anil_di_alk_c(246)
6,CHEMBL388111,Anil_di_alk_c(246)
7,CHEMBL231996,Anil_di_alk_c(246)
8,CHEMBL231995,Anil_di_alk_c(246)
9,CHEMBL231994,Anil_di_alk_c(246)
10,CHEMBL397353,Anil_di_alk_c(246)
11,CHEMBL234616,Anil_di_alk_c(246)
12,CHEMBL234429,Anil_di_alk_c(246)
13,CHEMBL396136,Anil_di_alk_c(246)
14,CHEMBL234428,Anil_di_alk_c(246)
15,CHEMBL234427,Anil_di_alk_c(246)
16,CHEMBL234236,Anil_di_alk_c(246)
17,CHEMBL234235,Anil_di_alk_c(246)
18,CHEMBL239356,Anil_di_alk_a(478)
19,CHEMBL391466,Anil_di_alk_a(478)
20,CHEMBL238506,Anil_di_alk_c(246)
21,CHEMBL518629,Anil_no_alk(40)
22,CHEMBL472128,Azo_a(324)
23,CHEMBL511659,Azo_a(324)
24,CHEMBL471747,Azo_a(324)
25,CHEMBL471731,Azo_a(324)
26,CHEMBL471547,Azo_a(324)
27,CHEMBL471546,Azo_a(324)
28,CHEMBL460885,Azo_a(324)
29,CHEMBL50,Catechol_a(92)
30,CHEMBL2069828,Anil_di_alk_a(478)
31,CHEMBL2069829,Anil_di_alk_a(478)
32,CHEMBL2069831,Anil_di_alk_d(198)
33,CHEMBL3093921,Anil_no_alk(40)
34,CHEMBL2048503,Catechol_a(92)
35,CHEMBL17347,Catechol_a(92)
36,CHEMBL288114,Catechol_a(92)
37,CHEMBL145,Catechol_a(92)
38,CHEMBL511367,Catechol_a(92)
39,CHEMBL151,Catechol_a(92)
40,CHEMBL4247480,Hzone_phenol_b(215)
41,CHEMBL4247286,Hzone_phenol_a(479)
42,CHEMBL5191973,Azo_a(324)
43,CHEMBL5206696,Azo_a(324)
44,CHEMBL5198237,Azo_a(324)
45,CHEMBL5270099,Anil_no_alk(40)
46,CHEMBL5288974,Hzone_phenol_b(215)
47,CHEMBL5404677,Catechol_a(92)
