,molecule_chembl_id,smiles,IC50,pIC50,molLogP,tpsa,MolWT,NumRotatableBonds,NumHDonors,NumHAcceptors,ro5_fulfilled
0,CHEMBL93558,N[C@@H](CC1CCCCC1)C(=O)N1CCCCC1,217000.0,2.6635402661514704,2.2966000000000006,46.330000000000005,238.3750000000002,4,1,2,True
1,CHEMBL443622,C[C@H](N)C(=O)N1CCCC1,41000.00000000003,3.387216143280264,-0.04400000000000004,46.330000000000005,142.2020000000001,3,1,2,True
2,CHEMBL403882,O=C([C@@H]1CCCN1)N1CCCC1,12971.337244495911,3.887015249207464,0.3608,32.34,168.24000000000015,1,1,2,True
3,CHEMBL328795,NC(=O)CC(N)C(=O)N1CCCC1,188000.0000000001,2.72584215073632,-1.1885000000000001,89.42,185.22700000000015,4,2,3,True
4,CHEMBL97674,NCCCCC(N)C(=O)N1CCCCC1,247000.0,2.607303046740334,0.45520000000000027,72.35,213.3250000000002,7,2,3,True
5,CHEMBL317126,NC(Cc1ccc(O)cc1)C(=O)N1CCCC1,14000.0,3.853871964321762,0.8843999999999999,66.56,234.29900000000012,5,2,3,True
6,CHEMBL383705,CC(C)[C@H](N)C(=O)N1CCCC1,4325.06054544256,4.364007808576609,0.5920999999999998,46.330000000000005,170.25600000000017,5,1,2,True
7,CHEMBL94955,NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCCCC1,134900.0,2.869988050328096,2.4229000000000003,84.65999999999998,347.4589999999995,9,2,4,True
8,CHEMBL97180,NC(Cc1c[nH]cn1)C(=O)N1CCCCC1,213000.00000000003,2.6716203965612624,0.29199999999999915,75.01,222.29200000000014,4,2,3,True
9,CHEMBL98008,N[C@@H](CC1CCCCC1)C(=O)N1CCCC1,17000.00000000001,3.769551078621726,1.9064999999999999,46.330000000000005,224.34800000000018,4,1,2,True
10,CHEMBL317944,NC(Cc1c[nH]cn1)C(=O)N1CCCC1,23100.000000000004,3.636388020107856,-0.09810000000000074,75.01,208.26500000000013,4,2,3,True
