SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
COC(=O)CCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,"CHEMBL9238",1,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
CC(=O)Nc1cccc(OP(=O)(Oc2cccc(NC(C)=O)c2)C2CCCN2C(=O)C2CCCN2)c1.Cl,"CHEMBL9263",2,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0.01,,,,,,,,,,,,,,
CCCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,"CHEMBL9295",3,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
COC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,"CHEMBL9408",4,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
CS(=O)(=O)Nc1ccc(OP(=O)(Oc2ccc(NS(C)(=O)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,"CHEMBL9433",5,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
Cl.NCC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CN)cc2)C2CCCN2C(=O)C2CCCN2)cc1,"CHEMBL9512",6,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
Cl.O=C(C1CCCN1)N1CCCC1P(=O)(Oc1ccc(NN2CCCC2)cc1)Oc1ccc(NN2CCCC2)cc1,"CHEMBL9527",7,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
CCCC[S+](CCCC)Cc1ccc2cc1C(=O)NCC(=O)NCC(=O)NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)N2.O=C(O)C(F)(F)F.O=C([O-])C(F)(F)F,"CHEMBL67679",8,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
CCCCCCCC[S+](CCCCCCCC)Cc1ccc2cc1C(=O)NCC(=O)NCC(=O)NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)N2.O=C(O)C(F)(F)F.O=C([O-])C(F)(F)F,"CHEMBL67680",9,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
O=Cc1ccc(-c2ccc(-c3cccs3)s2)s1,"CHEMBL91933",10,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
CC(C)c1cccc(C(C)C)c1N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=S,"CHEMBL151999",11,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
CC(C)c1cccc(C(C)C)c1N1C(=S)c2c(F)c(F)c(F)c(F)c2C1=S,"CHEMBL153037",12,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
NC(CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(=O)O)cc1)Cc1ccc(F)c(F)c1.O=C(O)C(F)(F)F,"CHEMBL182223",13,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
NC(CC(=O)N1CSC[C@H]1C(=O)NCc1ccc(CC(=O)O)cc1)Cc1ccccc1F.O=C(O)C(F)(F)F,"CHEMBL183060",14,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
NC(CC(=O)N1CCC[C@H]1C(=O)NCc1ccccc1C(=O)O)Cc1ccccc1.O=C(O)C(F)(F)F,"CHEMBL183098",15,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
CS(=O)(=O)Nc1cccc(NC(=O)CN2CCN(C(=O)C[C@H](N)Cc3ccccc3F)[C@H](Cc3ccccc3)C2)c1,"CHEMBL183207",16,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2c(F)c(F)c(F)c(F)c2F)cc1)C(=O)O.O=C(O)C(F)(F)F,"CHEMBL183289",17,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0.01,,,,,,,,,,,,,,
CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C2CCCCC2)cc1)C(=O)O.O=C(O)C(F)(F)F,"CHEMBL183418",18,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
CC(Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2ccccc2F)cc1)C(=O)O.O=C(O)C(F)(F)F,"CHEMBL183736",19,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
CS(=O)(=O)Nc1cccc(NC(=O)CN2CCN(C(=O)C[C@H](N)Cc3ccccc3)C(Cc3ccccc3)C2)c1,"CHEMBL184040",20,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2cc(F)c(C(F)(F)F)cc2F)cc1)C(=O)O.O=C(O)C(F)(F)F,"CHEMBL184177",21,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0.01,,,,,,,,,,,,,,
NC(CC(=O)N1CCC[C@H]1C(=O)NCCCCc1nn[nH]n1)Cc1ccccc1F.O=C(O)C(F)(F)F,"CHEMBL184346",22,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2cc(Cl)ccc2F)cc1)C(=O)O.O=C(O)C(F)(F)F,"CHEMBL184527",23,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
NC(CC(=O)N1CCC[C@H]1C(=O)NCc1cccc(C(=O)O)c1)Cc1ccccc1.O=C(O)C(F)(F)F,"CHEMBL184593",24,"STRUCTURE INCOMPATIBLE WITH FORCE FIELD",0,,,,,,,,,,,,,,
