SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
COC(=O)CCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC(=O)OC)cc2)[C@@H]2CCCN2C(=O)[C@@H]2CCC[NH2+]2)cc1,"CHEMBL9238",1,Done,33.74,-6.48963,"glide_grid_1X70",-6.63823,-0.545934,-0.780823,-0,-0.480888,-43.5262,-20.2852,0.675071,-0.286561,-94.8639,-63.8115,11.4943
CC(=O)Nc1cccc(OP(=O)(Oc2cccc(NC(C)=O)c2)[C@@H]2CCCN2C(=O)[C@@H]2CCC[NH2+]2)c1,"CHEMBL9263",3,Done,9.72,-5.91639,"glide_grid_1X70",-6.06499,-0.727753,-0.764727,-0,-0.146797,-41.3201,-18.7503,0.694901,-0.242062,-82.0039,-60.0704,13.2813
COC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)OC)cc2)[C@@H]2CCCN2C(=O)[C@@H]2CCC[NH2+]2)cc1,"CHEMBL9408",7,Done,6.4,-5.05074,"glide_grid_1X70",-5.19934,-0.495254,-0.613638,-0,-0.33721,-38.4525,-15.1403,0.690049,-0.249617,-73.5899,-53.5928,7.51495
CS(=O)(=O)Nc1ccc(OP(=O)(Oc2ccc(NS(C)(=O)=O)cc2)[C@@H]2CCCN2C(=O)[C@@H]2CCC[NH2+]2)cc1,"CHEMBL9433",9,Done,8.45,-6.18408,"glide_grid_1X70",-6.43748,-0.496494,-0.464488,-0,-0.384015,-37.6487,-21.079,0.439435,-0.487628,-87.7766,-58.7277,6.23291
CS(=O)(=O)[N-]c1ccc(O[P@@](=O)(Oc2ccc(NS(C)(=O)=O)cc2)[C@@H]2CCCN2C(=O)[C@@H]2CCC[NH2+]2)cc1,"CHEMBL9433",11,Done,7.77,-4.60958,"glide_grid_1X70",-5.86948,-0.26555,-0.37695,-0,-0.413567,-37.2082,-19.624,0.442063,-0.451463,-78.7008,-56.8322,10.3325
NCC(=O)Nc1ccc(O[P@](=O)(Oc2ccc(NC(=O)C[NH3+])cc2)[C@@H]2CCCN2C(=O)[C@@H]2CCC[NH2+]2)cc1,"CHEMBL9512",13,Done,11.82,-6.01928,"glide_grid_1X70",-6.57878,-0.0502956,-1.07553,-0,-0.367362,-25.131,-31.1025,0.533846,-0.36289,-86.0239,-56.2335,15.1913
NCC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CN)cc2)[C@@H]2CCCN2C(=O)[C@@H]2CCC[NH2+]2)cc1,"CHEMBL9512",14,Done,12.66,-4.41801,"glide_grid_1X70",-5.36481,-0.054339,-0.820567,-0,0.299958,-38.0995,-21.9614,0.76524,-0.355913,-71.2873,-60.0609,25.7847
[NH3+]CC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)C[NH3+])cc2)[C@@H]2CCCN2C(=O)[C@@H]2CCC[NH2+]2)cc1,"CHEMBL9512",15,Done,12.62,-6.08364,"glide_grid_1X70",-7.07714,-9.03897e-05,-1.46841,-0,-0.487973,-24.5533,-37.2213,0.532034,-0.425039,-103.595,-61.7746,9.03313
NCC(=O)Nc1ccc(O[P@](=O)(Oc2ccc(NC(=O)C[NH3+])cc2)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2)cc1,"CHEMBL9512",16,Done,13.68,-5.64008,"glide_grid_1X70",-6.94338,-0.0274067,-1.29563,-0,-0.310509,-29.2026,-29.389,0.535668,-0.385377,-90.8923,-58.5916,7.49087
NCC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CN)cc2)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2)cc1,"CHEMBL9512",17,Done,13.98,-3.31168,"glide_grid_1X70",-5.00228,-0.00905827,-1.33439,-0,0.235139,-23.305,-21.6384,0.767855,-0.250817,-59.4364,-44.9434,5.49663
