SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,"CHEMBL28",1,Done,2.82,-5.03732,"glide_grid_1X70",-5.17722,-0.631076,-0.161347,-0,-1.56657,-20.8917,-12.967,0.171411,0,-46.4546,-33.8587,1.05463
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc([O-])c12,"CHEMBL28",3,Done,1.67,-0.245186,"glide_grid_1X70",-2.26429,-0.501289,-0.00204121,-0,-1.57344,-16.226,2.51549,0.246461,0,-18.4465,-13.7106,1.7988
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,"CHEMBL44",4,Done,2.09,-4.67609,"glide_grid_1X70",-4.78359,-0.227365,-0.333619,-0,-1.56657,-19.9863,-12.6773,0.244873,0,-41.968,-32.6636,4.51567
O=c1c(-c2ccc(O)cc2)coc2cc([O-])cc(O)c12,"CHEMBL44",5,Done,1.74,-1.52082,"glide_grid_1X70",-2.69372,-0.313287,-0.095631,-0,-1.57344,-12.7919,-2.12154,0.246461,0,-20.5427,-14.9134,2.22922
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc([O-])c12,"CHEMBL44",6,Done,1.76,-0.749979,"glide_grid_1X70",-2.87318,-0.0237319,-0.367303,-0,-1.57344,-14.9095,-2.73128,0.246461,0,-22.7921,-17.6408,3.92343
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,"CHEMBL150",7,Done,2.48,-4.96527,"glide_grid_1X70",-5.09327,-0.635345,-0.38693,-0,-1.45748,-22.9464,-11.252,0.221609,0,-46.6627,-34.1984,1.01592
O=c1c(O)c(-c2ccc(O)cc2)oc2cc([O-])cc(O)c12,"CHEMBL150",8,Done,2.19,-1.83073,"glide_grid_1X70",-2.99573,-0.22406,0,-0,-1.46435,-21.6265,-2.99309,0.222974,0,-30.1017,-24.6196,3.51375
O=c1c([O-])c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,"CHEMBL150",10,Done,2.12,-2.58993,"glide_grid_1X70",-4.92933,-0.588681,-0.248865,-0,-1.46435,-20.9582,-12.0166,0.222974,0,-43.6788,-32.9748,2.25837
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,"CHEMBL165",11,Done,2.14,-5.53681,"glide_grid_1X70",-5.55471,-0.739316,-0.454451,-0,-1.85289,-18.6312,-13.5622,0.457826,0,-45.3889,-32.1934,1.05032
CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)[O-])cn3C2CC2)C[C@H]1C[NH3+],"CHEMBL430",13,Done,2.75,-5.11057,"glide_grid_1X70",-5.12617,-0.773585,-0.315916,-0,-1.21605,-24.9224,-11.2839,0.385714,-0.267625,-55.3099,-36.2063,3.12609
