SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
O=c1cc(-c2ccc(O)cc2)oc2cc([O-])cc(O)c12,"CHEMBL28",2,"NO POSES STORED FOR LIGAND",1.65,,,,,,,,,,,,,,
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc([O-])c12,"CHEMBL150",9,"NO POSES STORED FOR LIGAND",2.16,,,,,,,,,,,,,,
[O-]c1cc(O)cc(/C=C/c2ccc(O)cc2)c1,"CHEMBL165",12,"NO POSES STORED FOR LIGAND",1.75,,,,,,,,,,,,,,
O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc([O-])c21,"CHEMBL9352",24,"NO POSES STORED FOR LIGAND",1.62,,,,,,,,,,,,,,
COc1ccc(OP(=O)(Oc2ccc(OC)cc2)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2)cc1,"CHEMBL9561",26,"NO GOOD POSES FOUND",0.65,,,,,,,,,,,,,,
O=C([C@@H]1CCCN1)N1CCC[C@H]1P1(=O)Oc2ccccc2-c2ccccc2O1,"CHEMBL9724",30,"NO GOOD POSES FOUND",0.11,,,,,,,,,,,,,,
O=C([O-])/C=C/c1ccc(O)cc1,"CHEMBL66879",104,"NO GOOD POSES FOUND",0.02,,,,,,,,,,,,,,
CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc([O-])c2C1=O,"CHEMBL88474",118,"INVALID ATOM(S), ETC.",0.06,,,,,,,,,,,,,,
CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc(O)c2C1=O,"CHEMBL88474",119,"NO GOOD POSES FOUND",0.04,,,,,,,,,,,,,,
CCc1cccc(CC)c1N1C(=O)c2ccc([O-])cc2C1=O,"CHEMBL88953",120,"INVALID ATOM(S), ETC.",0.04,,,,,,,,,,,,,,
CCc1cccc(CC)c1N1C(=O)c2ccc(O)cc2C1=O,"CHEMBL88953",121,"NO GOOD POSES FOUND",0.03,,,,,,,,,,,,,,
OCc1ccc(-c2ccc(-c3cccs3)s2)s1,"CHEMBL90170",122,"NO GOOD POSES FOUND",0.03,,,,,,,,,,,,,,
O=C(CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)N1CCCC1,"CHEMBL93034",133,"NO GOOD POSES FOUND",0.08,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)CNC1CCCCCCCCCCC1,"CHEMBL93847",141,"NO GOOD POSES FOUND",0.42,,,,,,,,,,,,,,
CCCCCCCNCC(=O)N1CCC[C@H]1C#N,"CHEMBL94147",146,"NO GOOD POSES FOUND",0.25,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)CNC1CCC1,"CHEMBL94312",147,"NO GOOD POSES FOUND",0.06,,,,,,,,,,,,,,
CC(C)(C)CC(C)(C)NCC(=O)N1CCC[C@H]1C#N,"CHEMBL94630",152,"NO GOOD POSES FOUND",0.23,,,,,,,,,,,,,,
CC(C)(C)CCNCC(=O)N1CCC[C@H]1C#N,"CHEMBL94647",154,"NO GOOD POSES FOUND",0.13,,,,,,,,,,,,,,
CCC(C)(C)NCC(=O)N1CCC[C@H]1C#N,"CHEMBL94908",156,"NO GOOD POSES FOUND",0.09,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)CNC1CCCC1,"CHEMBL95089",161,"NO GOOD POSES FOUND",0.12,,,,,,,,,,,,,,
CC1(C)[C@@H]2C[C@@H](CNCC(=O)N3CCC[C@H]3C#N)C[C@H]1C2,"CHEMBL96071",163,"NO GOOD POSES FOUND",0.14,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)CNC1CC1,"CHEMBL96080",165,"NO GOOD POSES FOUND",0.04,,,,,,,,,,,,,,
CCCCCNCC(=O)N1CCC[C@H]1C#N,"CHEMBL96160",167,"NO GOOD POSES FOUND",0.13,,,,,,,,,,,,,,
O=C(CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)N1CCC1,"CHEMBL96229",171,"NO GOOD POSES FOUND",0.06,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)CNCc1ccccc1,"CHEMBL96453",176,"NO GOOD POSES FOUND",0.06,,,,,,,,,,,,,,
C[C@@H]1[C@@H](NCC(=O)N2CCC[C@H]2C#N)C[C@@H]2C[C@H]1C2(C)C,"CHEMBL96459",179,"NO GOOD POSES FOUND",0.1,,,,,,,,,,,,,,
CCCCCCNCC(=O)N1CCC[C@H]1C#N,"CHEMBL96491",181,"NO GOOD POSES FOUND",0.18,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)CNCc1cccc2ccccc12,"CHEMBL96577",182,"NO GOOD POSES FOUND",0.09,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)CNC1CCCCCCC1,"CHEMBL96593",185,"NO GOOD POSES FOUND",0.26,,,,,,,,,,,,,,
CC(C)NCC(=O)N1CCC[C@H]1C#N,"CHEMBL96748",191,"NO GOOD POSES FOUND",0.05,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)CNCCCc1ccccc1,"CHEMBL96890",195,"NO GOOD POSES FOUND",0.15,,,,,,,,,,,,,,
