SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
Cc1cc(O)cc(C)c1[C@@H]1C[NH2+][C@H](C(=O)N2CCC[C@H]2C#N)C1,"CHEMBL243799",1,Done,4.27,-4.86069,"glide_grid_1X70",-5.20579,-0.403728,-0.4,-0,-1.69836,-25.6012,-11.8169,0.564131,-0.215242,-43.8015,-37.418,25.2763
[NH3+][C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)cc(F)c1F,"CHEMBL243872",5,Done,4.36,-9.26015,"glide_grid_1X70",-9.27235,-0.912647,-0.891408,-0,-2.26083,-36.3747,-22.6644,0.330509,-0.319581,-98.5775,-59.0391,6.0216
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)cc(F)c1F,"CHEMBL243872",6,Done,4.43,-4.83863,"glide_grid_1X70",-7.14563,-1.17989,-0.75101,-0,-1.85131,-34.0603,-13.296,0.474265,-0.140262,-63.9392,-47.3564,8.1522
COc1cc(O)cc(OC)c1[C@@H]1C[NH2+][C@H](C(=O)N2CCC[C@H]2C#N)C1,"CHEMBL244008",8,Done,3.96,-5.1519,"glide_grid_1X70",-5.6761,-0.882309,-0.400827,-0,-1.47871,-30.6567,-11.2187,0.475317,-0.173933,-56.4537,-41.8753,9.01382
CCOc1cc(O)cc(OCC)c1[C@@H]1C[NH2+][C@H](C(=O)N2CCC[C@H]2C#N)C1,"CHEMBL244009",10,Done,12.15,-4.89692,"glide_grid_1X70",-5.42472,-0.906273,-0.400362,-0,-1.2862,-33.637,-11.1146,0.689515,-0.172362,-59.5746,-44.7515,10.3422
N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](c2ccccc2)C[NH2+]1,"CHEMBL244843",13,Done,2.89,-6.41164,"glide_grid_1X70",-6.75674,-0.917561,-0.63696,-0,-2.14563,-27.8749,-14.7835,0.734091,-0.179413,-64.9877,-42.6584,3.06727
N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](c2ccccc2O)C[NH2+]1,"CHEMBL245059",15,Done,4.4,-5.2211,"glide_grid_1X70",-5.5662,-0.686253,-0.266926,-0,-1.92109,-29.1665,-11.4772,0.664373,-0.1764,-62.5077,-40.6437,0.557069
N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](c2ccccc2O)CN1,"CHEMBL245059",16,Done,6.62,-4.60398,"glide_grid_1X70",-5.08838,-0.909908,-0.178441,-0,-1.74268,-33.5553,-6.8381,0.467925,-0.0218027,-51.7491,-40.3934,7.18187
C=CC[C@@H]1C[NH2+][C@H](C(=O)N2CCC[C@H]2C#N)C1,"CHEMBL245069",17,Done,5.64,-4.81155,"glide_grid_1X70",-4.95655,-0.627438,-0.395159,-0,-2.20726,-23.1755,-10.6696,1.25102,-0.218487,-50.2105,-33.8451,0.869282
[NH3+][C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1ccc(C(F)(F)F)cc1,"CHEMBL245181",19,Done,6.24,-9.64099,"glide_grid_1X70",-9.65319,-1.27246,-0.850367,-0,-2.49018,-36.5439,-22.1292,0.38869,-0.282307,-100.9,-58.6731,8.40427
