SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
Cc1cc(O)cc(C)c1[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,"CHEMBL243799",2,"NO POSES STORED FOR LIGAND",5.25,,,,,,,,,,,,,,
COc1cc(O)cc(C)c1[C@@H]1C[NH2+][C@H](C(=O)N2CCC[C@H]2C#N)C1,"CHEMBL243800",3,"NO POSES STORED FOR LIGAND",3.25,,,,,,,,,,,,,,
COc1cc(O)cc(C)c1[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,"CHEMBL243800",4,"NO POSES STORED FOR LIGAND",5.25,,,,,,,,,,,,,,
COc1cc(O)cc(OC)c1[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,"CHEMBL244008",7,"NO POSES STORED FOR LIGAND",6.43,,,,,,,,,,,,,,
CCOc1cc(O)cc(OCC)c1[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,"CHEMBL244009",9,"NO POSES STORED FOR LIGAND",10.77,,,,,,,,,,,,,,
COc1c(O)ccc(C)c1[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,"CHEMBL244010",11,"NO POSES STORED FOR LIGAND",6.41,,,,,,,,,,,,,,
COc1c(O)ccc(C)c1[C@@H]1C[NH2+][C@H](C(=O)N2CCC[C@H]2C#N)C1,"CHEMBL244010",12,"NO POSES STORED FOR LIGAND",3.5,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](c2ccccc2)CN1,"CHEMBL244843",14,"NO GOOD POSES FOUND",0.06,,,,,,,,,,,,,,
C=CC[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,"CHEMBL245069",18,"NO GOOD POSES FOUND",0.09,,,,,,,,,,,,,,
N[C@H]1C[N@H+](Cc2ccc(-n3cncn3)cc2)C[C@H]1C(=O)N1CCCC1,"CHEMBL249174",67,"NO POSES STORED FOR LIGAND",6.25,,,,,,,,,,,,,,
Cn1cc(-c2ccc(C[N@H+]3C[C@H](N)[C@H](C(=O)N4CCC[C@H]4C#N)C3)cc2)cn1,"CHEMBL249406",76,"NO POSES STORED FOR LIGAND",4.22,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)[C@@H]1C[N@@H+](Cc2ccc(-c3csnn3)cc2)C[C@@H]1N,"CHEMBL249407",79,"NO POSES STORED FOR LIGAND",7.05,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)[C@@H]1CN(Cc2ccc(-c3csnn3)cc2)C[C@@H]1N,"CHEMBL249407",80,"NO POSES STORED FOR LIGAND",4.65,,,,,,,,,,,,,,
N#Cc1ccc(CN2C[C@H](N)[C@H](C(=O)N3CCCC3)C2)cc1,"CHEMBL250400",124,"NO POSES STORED FOR LIGAND",3.49,,,,,,,,,,,,,,
COc1cc(O)c(C(=O)/C=C/c2ccc(O)cc2)c(OC)c1,"CHEMBL251958",144,"NO POSES STORED FOR LIGAND",3.4,,,,,,,,,,,,,,
COc1cc([O-])c(C(=O)/C=C/c2ccc(O)cc2)c(OC)c1,"CHEMBL251958",145,"NO GOOD POSES FOUND",0.03,,,,,,,,,,,,,,
Cc1nsc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)n1,"CHEMBL256691",179,"NO GOOD POSES FOUND",0.33,,,,,,,,,,,,,,
Cc1nsc(N2CCCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)n1,"CHEMBL257742",203,"NO GOOD POSES FOUND",0.75,,,,,,,,,,,,,,
CC#CCn1c(N2CCCNCC2)nc2cnn(Cc3nc(C)c4ccccc4n3)c(=O)c21,"CHEMBL257999",210,"NO GOOD POSES FOUND",0.2,,,,,,,,,,,,,,
O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,"CHEMBL258101",212,"NO GOOD POSES FOUND",0.65,,,,,,,,,,,,,,
O=C(c1nccs1)[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2N1,"CHEMBL258288",214,"NO GOOD POSES FOUND",0.09,,,,,,,,,,,,,,
C[C@@H]1N[C@H](C(=O)N(C)CC#N)C[C@@H]1C(=O)N(C)C,"CHEMBL259198",216,"NO GOOD POSES FOUND",0.05,,,,,,,,,,,,,,
CC[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N(C)C,"CHEMBL260197",218,"NO GOOD POSES FOUND",0.08,,,,,,,,,,,,,,
C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@H]1C(=O)N(C)C,"CHEMBL260198",220,"NO GOOD POSES FOUND",0.06,,,,,,,,,,,,,,
CCN(CC#N)C(=O)[C@@H]1C[C@H](C(=O)N2CCCCC2)[C@H](C)N1,"CHEMBL260509",222,"NO GOOD POSES FOUND",0.12,,,,,,,,,,,,,,
C[C@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N(C)C,"CHEMBL260543",224,"NO GOOD POSES FOUND",0.09,,,,,,,,,,,,,,
