SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(C)(=O)=O)cc2)n(-c2cccc(C[NH3+])c2)n1,"15650 Known Active",1,Done,5,-10.2597,"glide-grid_1fjs",-10.3031,-5.05391,-0.182572,-0,-0.913669,-56.2917,-12.0285,0.472625,-0.00673502,-115.22,-68.3203,7.40022
Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(C)(=O)=O)cc2)n(-c2cccc(CN)c2)n1,"15650 Known Active",2,Done,4.54,-7.38152,"glide-grid_1fjs",-8.95202,-4.76498,-0.140076,-0,-0.822889,-56.9751,-5.59937,0.474511,-0.00992804,-91.7056,-62.5745,9.38444
NC(=[NH2+])c1cccc(CNC(=O)CNS(=O)(=O)c2ccc3ccccc3c2)c1,"16088 Known Active",3,Done,4.41,-10.9624,"glide-grid_1fjs",-10.9624,-4.17144,-0.72,-0,-1.76392,-44.5261,-16.5592,0.520404,-0.117283,-105.757,-61.0853,6.50237
NC(=[NH2+])c1cccc(OCCNC(=O)c2ccc(C(=O)N3CCCC3)cc2)c1,"1167 Known Active",4,Done,5.46,-9.95411,"glide-grid_1fjs",-9.95411,-3.88642,-0.4,-0,-2.04533,-45.4946,-13.3264,0.747083,-0.0957504,-100.315,-58.821,4.2126
CCOC(=O)CO/N=C(/c1ccccn1)C1(c2ccc3c(c2)nc(CNc2ccc(C(N)=[NH2+])cc2)n3C)CC1,"15722 Known Active",5,Done,10.22,-10.6067,"glide-grid_1fjs",-11.0045,-4.65075,-0.72,-0,-1.27634,-51.9386,-14.5513,0.519731,-0.0975185,-115.142,-66.49,9.78633
CCOC(=O)CO/N=C(/c1ccccn1)C1(c2ccc3c(c2)[nH+]c(CNc2ccc(C(N)=[NH2+])cc2)n3C)CC1,"15722 Known Active",6,Done,11.42,-10.5284,"glide-grid_1fjs",-10.9934,-4.35847,-0.72,-0,-1.26051,-47.5984,-17.9819,0.517905,-0.0951476,-118.296,-65.5804,6.49341
CCOC(=O)CO/N=C(/c1cccc[nH+]1)C1(c2ccc3c(c2)nc(CNc2ccc(C(N)=[NH2+])cc2)n3C)CC1,"15722 Known Active",7,Done,9.83,-9.51541,"glide-grid_1fjs",-11.918,-3.99072,-0.72,-0,-2.4429,-49.0762,-18.2507,0.517905,-0.0908734,-127.601,-67.327,4.53251
CCOC(=O)CO/N=C(/c1cccc[nH+]1)C1(c2ccc3c(c2)[nH+]c(CNc2ccc(C(N)=[NH2+])cc2)n3C)CC1,"15722 Known Active",8,Done,7.95,-5.84577,"glide-grid_1fjs",-8.31547,-3.02827,-0.380666,-0,-0.844766,-45.0522,-15.1372,0.516089,-0.0546758,-97.7736,-60.1894,9.0562
Cc1ccn2c(-c3csc(Nc4ccccn4)n3)c(C)[nH+]c2c1,"151943",10,Done,0.77,-6.57657,"glide-grid_1fjs",-7.15407,-3.06254,-0.354115,-0,-2.64085,-8.73061,-6.40448,0.377786,-0.0771445,-33.9221,-15.1351,4.21517
O=C(O)c1cccc2c1N[C@H](c1ccc(Br)cc1)[C@@H]1CC=C[C@@H]21,"177616",16,Done,0.56,-4.33504,"glide-grid_1fjs",-6.89584,-3.42105,-0.303305,-0,-1.06109,-31.8695,-5.11704,0.281445,-0.0307994,-34.6463,-36.9866,11.5072
CCN(CC)C(=O)CSc1nc2ccc(NC(=O)CSc3nnc(N)s3)cc2s1,"281488",18,Done,3.6,-5.38424,"glide-grid_1fjs",-5.38424,-2.65411,-0.195607,-0,-0.543135,-43.2357,-4.08462,0.827419,-0.0443235,-63.2916,-47.3204,2.35612
COc1cc2c(c(OC)c1OC)-c1ccc(N)c(=O)cc1[C@@H]([NH3+])CC2,"437368",27,Done,1.14,-6.08788,"glide-grid_1fjs",-6.08788,-2.7217,-0.145977,-0,-1.06775,-24.5315,-5.97976,0,-0.0289112,-41.6504,-30.5112,3.15349
N/C(=N\N=C\c1c[nH]c2ccccc12)c1nonc1N,"494088",29,Done,1.38,-6.71914,"glide-grid_1fjs",-6.83934,-1.40958,-0.600653,-0,-2.21874,-39.0811,-9.16252,0.739227,-0.0211596,-66.3645,-48.2436,1.94204
N/C(=[NH+]\N=C\c1c[nH]c2ccccc12)c1nonc1N,"494088",30,Done,0.56,-4.67161,"glide-grid_1fjs",-5.67581,-2.03521,-0.237254,-0,-2.01601,-20.1586,-5.56167,0.489643,-0.0348068,-39.0134,-25.7203,0.871134
