SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
Cc1ccn2c(-c3csc(Nc4ccccn4)n3)c(C)nc2c1,"151943",9,"NO POSES STORED FOR LIGAND",0.33,,,,,,,,,,,,,,
Cc1ccc(-c2n[nH]c3c2[C@@H](c2c[nH]nc2-c2ccc(F)cc2)C(C#N)=C(N)O3)cc1,"165006",11,"NO POSES STORED FOR LIGAND",0.43,,,,,,,,,,,,,,
Cc1ccc(-c2[nH]nc3c2[C@@H](c2c[nH]nc2-c2ccc(F)cc2)C(C#N)=C(N)O3)cc1,"165006",12,"NO POSES STORED FOR LIGAND",0.22,,,,,,,,,,,,,,
Cc1ccc(-c2n[nH]c3c2[C@@H](c2cn[nH]c2-c2ccc(F)cc2)C(C#N)=C(N)O3)cc1,"165006",13,"NO POSES STORED FOR LIGAND",0.72,,,,,,,,,,,,,,
Cc1ccc(-c2[nH]nc3c2[C@@H](c2cn[nH]c2-c2ccc(F)cc2)C(C#N)=C(N)O3)cc1,"165006",14,"NO POSES STORED FOR LIGAND",0.46,,,,,,,,,,,,,,
O=C([O-])c1cccc2c1N[C@H](c1ccc(Br)cc1)[C@@H]1CC=C[C@@H]21,"177616",15,"ROUGH POSE REFINE FAILED",0.26,,,,,,,,,,,,,,
Nc1c(C(=O)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)sc2nc3c(cc12)CCCCC3,"195476",17,"NO POSES STORED FOR LIGAND",0.32,,,,,,,,,,,,,,
COc1cc([C@H](C(=O)NC(C)(C)C)N(C(=O)Cn2nnc3ccccc32)c2cccc(C(C)=O)c2)cc(OC)c1OC,"334669",19,"GRID-ENERGY MIN FAILED",4.42,,,,,,,,,,,,,,
Cc1ccc2[nH]c(=O)c([C@@H](c3nnnn3C(C)(C)C)[N@H+]3CCCC4(CCCCC4)C3)cc2c1,"339375",20,"NO POSES STORED FOR LIGAND",0.71,,,,,,,,,,,,,,
Cc1ccc2[nH]c(=O)c([C@@H](c3nnnn3C(C)(C)C)N3CCCC4(CCCCC4)C3)cc2c1,"339375",21,"NO POSES STORED FOR LIGAND",1.64,,,,,,,,,,,,,,
O=C([O-])c1cnn2c(C(F)(F)F)cc(-c3ccc(F)cc3)nc12,"419851",22,"INVALID ATOM(S), ETC.",0.04,,,,,,,,,,,,,,
COCCN(CCOC)Cc1c(O)ccc2c(=O)c(-c3ccc(OC)c(OC)c3)c(C(F)(F)F)oc12,"428439",23,"ROUGH POSE REFINE FAILED",6.19,,,,,,,,,,,,,,
COCC[NH+](CCOC)Cc1c(O)ccc2c(=O)c(-c3ccc(OC)c(OC)c3)c(C(F)(F)F)oc12,"428439",24,"ROUGH POSE REFINE FAILED",5.04,,,,,,,,,,,,,,
COCC[NH+](CCOC)Cc1c([O-])ccc2c(=O)c(-c3ccc(OC)c(OC)c3)c(C(F)(F)F)oc12,"428439",25,"NO POSES STORED FOR LIGAND",3.64,,,,,,,,,,,,,,
COCCN(CCOC)Cc1c([O-])ccc2c(=O)c(-c3ccc(OC)c(OC)c3)c(C(F)(F)F)oc12,"428439",26,"INVALID ATOM(S), ETC.",0.84,,,,,,,,,,,,,,
COC(=O)CCc1c(C(=O)OC)[nH]c(C)c1C(=O)[O-],"451167",28,"NO POSES STORED FOR LIGAND",0.51,,,,,,,,,,,,,,
Cc1ccc(-c2cc(N)n3nc(-c4ccccc4)cc3n2)cc1,"496036",31,"ROUGH POSE REFINE FAILED",0.11,,,,,,,,,,,,,,
O[C@@H](C[NH2+]Cc1ccccc1)COc1ccc(OC[C@@H](O)C[NH2+]Cc2ccccc2)cc1,"504892",32,"NO POSES STORED FOR LIGAND",11.33,,,,,,,,,,,,,,
O[C@@H](CNCc1ccccc1)COc1ccc(OC[C@@H](O)C[NH2+]Cc2ccccc2)cc1,"504892",33,"NO POSES STORED FOR LIGAND",13.39,,,,,,,,,,,,,,
Cc1cc([N-]S(=O)(=O)c2ccc(Nc3nc(-c4ccc(Br)cc4)cs3)cc2)no1,"527364",34,"ROUGH POSE REFINE FAILED",0.33,,,,,,,,,,,,,,
Cc1cc(NS(=O)(=O)c2ccc(Nc3nc(-c4ccc(Br)cc4)cs3)cc2)no1,"527364",35,"NO POSES STORED FOR LIGAND",1.01,,,,,,,,,,,,,,
Cc1ccc(Cc2cncc([O-])c2)cc1S(=O)(=O)[O-],"534167",38,"INVALID ATOM(S), ETC.",0.04,,,,,,,,,,,,,,
COc1ccc(OC)c(NC(=O)CSc2nnc(-c3ccccc3Br)n2-c2ccc(C)cc2)c1,"550000",39,"NO POSES STORED FOR LIGAND",1.25,,,,,,,,,,,,,,
COc1cc([C@@H](c2c[nH]nc2C)c2c(O)n[nH]c2C)ccc1OC(=O)c1ccc(C)cc1,"564430",40,"NO POSES STORED FOR LIGAND",1.87,,,,,,,,,,,,,,
c1cc(-c2ncc(-c3cnccn3)c(-c3ccncc3)n2)ccn1,"600626",42,"INVALID ATOM(S), ETC.",0.04,,,,,,,,,,,,,,
Nc1c(-c2nc3ccccc3s2)c2[nH+]c3ccccc3nc2n1N,"617674",45,"NO POSES STORED FOR LIGAND",0.33,,,,,,,,,,,,,,
Nc1c(-c2nc3ccccc3s2)c2nc3ccccc3nc2n1N,"617674",46,"NO POSES STORED FOR LIGAND",0.42,,,,,,,,,,,,,,
N#Cc1c(N)n(CC2CCCCC2)c2nc3ccccc3[nH+]c12,"620317",47,"NO POSES STORED FOR LIGAND",0.44,,,,,,,,,,,,,,
N#Cc1c(N)n(CC2CCCCC2)c2nc3ccccc3nc12,"620317",48,"NO POSES STORED FOR LIGAND",0.25,,,,,,,,,,,,,,
CC[C@H](C)[C@H](NC1=CC(=O)CC(C)(C)C1)C(=O)[O-],"624664",49,"GRID-ENERGY MIN FAILED",0.32,,,,,,,,,,,,,,
Cc1cc(C)nc(/N=C(\N)Nc2ccc(Cl)c(C(F)(F)F)c2)n1,"647916",50,"NO POSES STORED FOR LIGAND",0.9,,,,,,,,,,,,,,
Cc1cc(C)nc(N/C(N)=N\c2ccc(Cl)c(C(F)(F)F)c2)n1,"647916",51,"NO POSES STORED FOR LIGAND",0.54,,,,,,,,,,,,,,
Cc1cc(C)nc(/N=C(\N)[N-]c2ccc(Cl)c(C(F)(F)F)c2)n1,"647916",52,"GRID-ENERGY MIN FAILED",0.33,,,,,,,,,,,,,,
Cc1cc(C)nc(NC(=[NH2+])Nc2ccc(Cl)c(C(F)(F)F)c2)n1,"647916",53,"NO POSES STORED FOR LIGAND",0.64,,,,,,,,,,,,,,
O=C(Nc1ccc2oc(-c3ccncc3)nc2c1)c1ccc2ccccc2c1,"666154",54,"NO POSES STORED FOR LIGAND",0.37,,,,,,,,,,,,,,
C/N=C1/C(=O)C(n2nnc3ccccc32)=C(n2nnc3ccccc32)C([O-])=C1n1nnc2ccccc21,"675848",56,"INVALID ATOM(S), ETC.",0.08,,,,,,,,,,,,,,
CNC1=C(n2nnc3ccccc32)C(=O)C(n2nnc3ccccc32)=C(n2nnc3ccccc32)C1=O,"675848",57,"NO POSES STORED FOR LIGAND",0.74,,,,,,,,,,,,,,
CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CCN(C(=O)Cc4ccccc4)CC3)cc21,"682034",58,"INVALID ATOM(S), ETC.",0.15,,,,,,,,,,,,,,
Cc1ccc(OC[C@H](O)C[n+]2c(N)n(CCN3CCOCC3)c3ccccc32)cc1,"687624",60,"ROUGH POSE REFINE FAILED",1.96,,,,,,,,,,,,,,
Cc1ccc(OC[C@H](O)C[n+]2c(N)n(CC[NH+]3CCOCC3)c3ccccc32)cc1,"687624",61,"NO POSES STORED FOR LIGAND",2.87,,,,,,,,,,,,,,
CCOc1cc([C@@H]2/C(=C(/[O-])c3ccc(OCc4ccccc4)cc3C)C(=O)C(=O)N2CCC[NH+](C)C)ccc1O,"689972",63,"NO POSES STORED FOR LIGAND",7.05,,,,,,,,,,,,,,
CC1(C)[C@H](N(O)C(=O)Nc2ccccc2)N(c2ccccc2)C(=O)N1CCN1CCOCC1,"700000",66,"GRID-ENERGY MIN FAILED",1.18,,,,,,,,,,,,,,
CC1(C)[C@H](N(O)C(=O)Nc2ccccc2)N(c2ccccc2)C(=O)N1CC[NH+]1CCOCC1,"700000",67,"NO POSES STORED FOR LIGAND",1.97,,,,,,,,,,,,,,
CC1(C)[C@H](N([O-])C(=O)Nc2ccccc2)N(c2ccccc2)C(=O)N1CCN1CCOCC1,"700000",68,"NO POSES STORED FOR LIGAND",0.67,,,,,,,,,,,,,,
Cc1ccc(Nc2nnc(-c3ccc(C)c(S(=O)(=O)N4CCN(C)CC4)c3)c3ccccc23)c(C)c1,"703485",70,"NO POSES STORED FOR LIGAND",1.1,,,,,,,,,,,,,,
Cc1ccc(Nc2n[nH+]c(-c3ccc(C)c(S(=O)(=O)N4CCN(C)CC4)c3)c3ccccc23)c(C)c1,"703485",71,"ROUGH POSE REFINE FAILED",1.19,,,,,,,,,,,,,,
Cc1ccc(Nc2nnc(-c3ccc(C)c(S(=O)(=O)N4CC[NH+](C)CC4)c3)c3ccccc23)c(C)c1,"703485",72,"NO POSES STORED FOR LIGAND",1.66,,,,,,,,,,,,,,
Cc1ccc(Nc2n[nH+]c(-c3ccc(C)c(S(=O)(=O)N4CC[NH+](C)CC4)c3)c3ccccc23)c(C)c1,"703485",73,"NO POSES STORED FOR LIGAND",1.92,,,,,,,,,,,,,,
CC(C)(C)OC(=O)N1C(N)=C(C#N)C2(CCOCC2)c2nc(C(F)(F)F)[nH]c21,"732623",76,"NO POSES STORED FOR LIGAND",1.19,,,,,,,,,,,,,,
CC(C)(C)OC(=O)N1C(N)=C(C#N)C2(CCOCC2)c2[nH]c(C(F)(F)F)nc21,"732623",77,"NO POSES STORED FOR LIGAND",1.2,,,,,,,,,,,,,,
CC(C)(C)OC(=O)N1C(N)=C(C#N)C2(CCOCC2)c2nc(C(F)(F)F)[n-]c21,"732623",78,"NO POSES STORED FOR LIGAND",0.73,,,,,,,,,,,,,,
COc1ccc(-c2nc(Nc3nc(C)cc(C)n3)sc2CCC(=O)[O-])cc1,"752994",79,"ROUGH POSE REFINE FAILED",0.49,,,,,,,,,,,,,,
Brc1ccccc1NNc1c2ccccc2[nH+]c2ccccc12,"755486",80,"NO POSES STORED FOR LIGAND",0.45,,,,,,,,,,,,,,
CCOC(=O)c1cc(C(C)=O)c2c(-c3ccc4ccccc4n3)cc3ccccc3n12,"774295",81,"INVALID ATOM(S), ETC.",0.08,,,,,,,,,,,,,,
COC(=O)C[C@H](NC(=O)C1=C(C(=O)[O-])CCCC1)c1cc(C)ccc1C,"785409",82,"ROUGH POSE REFINE FAILED",0.93,,,,,,,,,,,,,,
