	molecule_chembl_id	units	IC50	canonical_smiles	pIC50	mols
0	CHEMBL93558	nM	217000.0	N[C@@H](CC1CCCCC1)C(=O)N1CCCCC1	2.6635402661514704	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61bd0>
1	CHEMBL443622	nM	41000.00000000003	C[C@H](N)C(=O)N1CCCC1	3.387216143280264	<rdkit.Chem.rdchem.Mol object at 0x7f870fd63f40>
2	CHEMBL403882	nM	12971.337244495913	O=C([C@@H]1CCCN1)N1CCCC1	3.8870152492074634	<rdkit.Chem.rdchem.Mol object at 0x7f870fd610e0>
3	CHEMBL328795	nM	188000.00000000012	NC(=O)CC(N)C(=O)N1CCCC1	2.72584215073632	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61c40>
4	CHEMBL97674	nM	247000.0	NCCCCC(N)C(=O)N1CCCCC1	2.607303046740334	<rdkit.Chem.rdchem.Mol object at 0x7f870fd613f0>
5	CHEMBL317126	nM	14000.0	NC(Cc1ccc(O)cc1)C(=O)N1CCCC1	3.853871964321762	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61460>
6	CHEMBL383705	nM	4325.0605454425595	CC(C)[C@H](N)C(=O)N1CCCC1	4.364007808576609	<rdkit.Chem.rdchem.Mol object at 0x7f870fd636f0>
7	CHEMBL94955	nM	134900.0	NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCCCC1	2.8699880503280957	<rdkit.Chem.rdchem.Mol object at 0x7f870fd60f90>
8	CHEMBL97180	nM	213000.00000000003	NC(Cc1c[nH]cn1)C(=O)N1CCCCC1	2.6716203965612624	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61700>
9	CHEMBL98008	nM	17000.00000000001	N[C@@H](CC1CCCCC1)C(=O)N1CCCC1	3.769551078621726	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61690>
10	CHEMBL317944	nM	23100.000000000004	NC(Cc1c[nH]cn1)C(=O)N1CCCC1	3.6363880201078556	<rdkit.Chem.rdchem.Mol object at 0x7f870fd63760>
11	CHEMBL93507	nM	67000.00000000001	CCC(C)C(N)C(=O)N1CCCCC1	3.1739251972991736	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61620>
12	CHEMBL93931	nM	20999.999999999985	NC(Cc1ccccc1)C(=O)N1CCCC1	3.677780705266081	<rdkit.Chem.rdchem.Mol object at 0x7f870fd614d0>
13	CHEMBL97064	nM	190000.00000000012	NC(CO)C(=O)N1CCCC1	2.7212463990471707	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61a80>
14	CHEMBL503274	nM	3999.9999999999995	CC[C@H](C)[C@H](N)C(=O)N1CCCC1	4.3979400086720375	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61930>
15	CHEMBL499101	nM	122000.0000000001	N[C@@H](CC(=O)O)C(=O)N1CCCC1	2.9136401693252516	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61000>
16	CHEMBL328694	nM	39000.00000000002	NCCCCC(N)C(=O)N1CCCC1	3.4089353929735005	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61380>
17	CHEMBL305170	nM	26.2678510731274	CC(C)[C@@H](N)C(=O)N1CCC[C@H]1B(O)O	6.580575454631372	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61540>
18	CHEMBL1790478	nM	190.0	C[C@@H](O)[C@H](N)C(=O)N1CCC[C@H]1B(O)O	5.721246399047171	<rdkit.Chem.rdchem.Mol object at 0x7f870fd60dd0>
19	CHEMBL66032	nM	11.0	CC[C@H](N)C(=O)N1CCC[C@H]1B(O)O	6.958607314841775	<rdkit.Chem.rdchem.Mol object at 0x7f870fd617e0>
20	CHEMBL63726	nM	95.0	NCCCC[C@H](N)C(=O)N1CCC[C@H]1B(O)O	6.022276394711152	<rdkit.Chem.rdchem.Mol object at 0x7f870fd612a0>
21	CHEMBL303131	nM	17000.0	N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1B(O)O	3.769551078621726	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61230>
22	CHEMBL292342	nM	250.0	O=C([C@@H]1CCN1)N1CCC[C@H]1B(O)O	5.6020599913279625	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61310>
23	CHEMBL63698	nM	44.0	CC(C)C[C@H](N)C(=O)N1CCC[C@H]1B(O)O	6.356547323513812	<rdkit.Chem.rdchem.Mol object at 0x7f870fd618c0>
24	CHEMBL291428	nM	63.0	N[C@H](C(=O)N1CCC[C@H]1B(O)O)c1ccccc1	6.200659450546418	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61850>
25	CHEMBL66189	nM	30000.0	CC(C)(N)C(=O)N1CCC[C@H]1B(O)O	3.5228787452803374	<rdkit.Chem.rdchem.Mol object at 0x7f870fd615b0>
26	CHEMBL1790483	nM	25.0	CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O	6.6020599913279625	<rdkit.Chem.rdchem.Mol object at 0x7f870fd619a0>
27	CHEMBL67279	nM	15.351640295542447	CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O	6.813845214112292	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61d20>
28	CHEMBL63860	nM	40.394397026130385	C[C@H](N)C(=O)N1CCC[C@H]1B(O)O	6.393678870270246	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61d90>
29	CHEMBL67089	nM	44.97941445275414	NCC(=O)N1CCC[C@H]1B(O)O	6.346986202559635	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61e00>
30	CHEMBL65406	nM	4000.0	CC(C)[C@@H](N)C(=O)N1CCC[C@@H]1B(O)O	4.3979400086720375	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61150>
31	CHEMBL304007	nM	32.0	N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1B(O)O	6.494850021680094	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61f50>
32	CHEMBL63652	nM	70.0	N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1B(O)O	6.154901959985743	<rdkit.Chem.rdchem.Mol object at 0x7f870fd62030>
33	CHEMBL63406	nM	60.0	CC(C)(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O	6.221848749616356	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61ee0>
34	CHEMBL63895	nM	159.05973720586871	O=C([C@@H]1CCCN1)N1CCC[C@H]1B(O)O	5.798439739412091	<rdkit.Chem.rdchem.Mol object at 0x7f870fd62110>
35	CHEMBL276884	nM	9100000.0	Cl.O=C(C1CCCN1)N1CCCC1P(=O)(OCC(F)(F)F)OCC(F)(F)F	1.0409586076789064	<rdkit.Chem.rdchem.Mol object at 0x7f870fd61fc0>
36	CHEMBL1182947	nM	28722.813232690107	O=C([C@@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1	3.541773025725038	<rdkit.Chem.rdchem.Mol object at 0x7f870fd621f0>
37	CHEMBL265344	nM	400.0	CC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(C)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl	5.3979400086720375	<rdkit.Chem.rdchem.Mol object at 0x7f870fd620a0>
38	CHEMBL9237	nM	47000.0	COP(=O)(Oc1ccccc1-c1ccccc1O)C1CCCN1C(=O)[C@@H]1CCCN1.Cl	3.3279021420642825	<rdkit.Chem.rdchem.Mol object at 0x7f870fd62260>
